ye case.dat
lerineyim p3p,case.dat,cop.pres,v1s
lerinesin p3p,case.dat,cop.pres,v2s
lerineyiz p3p,case.dat,cop.pres,v1p
lerinesiniz p3p,case.dat,cop.pres,v2p
lerineler p3p,case.dat,cop.pres,v3p
lerinelerken p3p,case.dat,cop.pres,v3p,converb
lerineydim p3p,case.dat,cop.past,v1s
lerineydin p3p,case.dat,cop.past,v2s
lerineydi p3p,case.dat,cop.past,v3s
lerineydik p3p,case.dat,cop.past,v1p
lerineydiniz p3p,case.dat,cop.past,v2p
lerineydiler p3p,case.dat,cop.past,v3p
lerinelerdi p3p,case.dat,cop.past,v3p
lerineymişim p3p,case.dat,cop.evid,v1s
lerineymişsin p3p,case.dat,cop.evid,v2s
lerineymiş p3p,case.dat,cop.evid,v3s
lerineymişiz p3p,case.dat,cop.evid,v1p
lerineymişsiniz p3p,case.dat,cop.evid,v2p
lerineymişler p3p,case.dat,cop.evid,v3p
lerinelermiş p3p,case.dat,cop.evid,v3p
lerineyimdir p3p,case.dat,cop.gen.1p.sg
lerinesindir p3p,case.dat,cop.gen.2p.sg
lerinedir p3p,case.dat,cop.gen.3p.sg
lerineyizdir p3p,case.dat,cop.gen.1p.pl
lerinesinizdir p3p,case.dat,cop.gen.2p.pl
lerinedirler p3p,case.dat,cop.gen.3p.pl
lerinelerdir p3p,case.dat,cop.gen.3p.pl
lerinden p3p,case.abl
lerindenken p3p,case.abl,converb
lerindensem p3p,case.abl,cop.cond,v1s
lerindensen p3p,case.abl,cop.cond,v2s
lerindense p3p,case.abl,cop.cond,v3s
lerindensek p3p,case.abl,cop.cond,v1p
lerindenseniz p3p,case.abl,cop.cond,v2p
lerindenseler p3p,case.abl,cop.cond,v3p
lerindenlerse p3p,case.abl,cop.cond,v3p
lerindenlerse p3p,case.abl,cop.pres,v3p,cop.cond,v3s
lerindenim p3p,case.abl,cop.pres,v1s
lerindensin p3p,case.abl,cop.pres,v2s
lerindeniz p3p,case.abl,cop.pres,v1p
lerindensiniz p3p,case.abl,cop.pres,v2p
lerindenler p3p,case.abl,cop.pres,v3p
lerindenlerken p3p,case.abl,cop.pres,v3p,converb
lerindendim p3p,case.abl,cop.past,v1s
lerindendin p3p,case.abl,cop.past,v2s
lerindendi p3p,case.abl,cop.past,v3s
lerindendik p3p,case.abl,cop.past,v1p
lerindendiniz p3p,case.abl,cop.past,v2p
lerindendiler p3p,case.abl,cop.past,v3p
lerindenlerdi p3p,case.abl,cop.past,v3p
lerindenimdir p3p,case.abl,cop.gen.1p.sg
lerindensindir p3p,case.abl,cop.gen.2p.sg
lerindendir p3p,case.abl,cop.gen.3p.sg
lerindenizdir p3p,case.abl,cop.gen.1p.pl
lerindensinizdir p3p,case.abl,cop.gen.2p.pl
lerindendirler p3p,case.abl,cop.gen.3p.pl
lerindenlerdir p3p,case.abl,cop.gen.3p.pl
lerindenmişim p3p,case.abl,cop.evid,v1s
lerindenmişsin p3p,case.abl,cop.evid,v2s
lerindenmiş p3p,case.abl,cop.evid,v3s
lerindenmişiz p3p,case.abl,cop.evid,v1p
lerindenmişsiniz p3p,case.abl,cop.evid,v2p
lerindenmişler p3p,case.abl,cop.evid,v3p
lerindenlermiş p3p,case.abl,cop.evid,v3p
lerinde p3p,case.loc
lerindeyken p3p,case.loc,converb
lerindeykenki p3p,case.loc,converb,<ki>
lerindeyimdir p3p,case.loc,cop.gen.1p.sg
lerindesindir p3p,case.loc,cop.gen.2p.sg
lerindedir p3p,case.loc,cop.gen.3p.sg
lerindeyizdir p3p,case.loc,cop.gen.1p.pl
lerindesinizdir p3p,case.loc,cop.gen.2p.pl
lerindedirler p3p,case.loc,cop.gen.3p.pl
lerindelerdir p3p,case.loc,cop.gen.3p.pl
lerindeydim p3p,case.loc,cop.past,v1s
lerindeydin p3p,case.loc,cop.past,v2s
lerindeydi p3p,case.loc,cop.past,v3s
lerindeydik p3p,case.loc,cop.past,v1p
lerindeydiniz p3p,case.loc,cop.past,v2p
lerindeydiler p3p,case.loc,cop.past,v3p
lerindeyim p3p,case.loc,cop.pres,v1s
lerindesin p3p,case.loc,cop.pres,v2s
lerindeyiz p3p,case.loc,cop.pres,v1p
lerindesiniz p3p,case.loc,cop.pres,v2p
lerindeler p3p,case.loc,cop.pres,v3p
lerindelerdi p3p,case.loc,cop.past,v3p
lerindelermiş p3p,case.loc,cop.evid,v3p
lerindelerken p3p,case.loc,cop.pres,v3p,converb
lerindeymiş p3p,case.loc,cop.evid,v3s
lerindeymişim p3p,case.loc,cop.evid,v1s
lerindeymişiz p3p,case.loc,cop.evid,v1p
lerindeymişler p3p,case.loc,cop.evid,v3p
lerindeymişsin p3p,case.loc,cop.evid,v2s
lerindeymişsiniz p3p,case.loc,cop.evid,v2p
lerindeyse p3p,case.loc,cop.cond,v3s
lerindeysek p3p,case.loc,cop.cond,v1p
lerindeysem p3p,case.loc,cop.cond,v1s
lerindeysen p3p,case.loc,cop.cond,v2s
lerindeyseniz p3p,case.loc,cop.cond,v2p
lerindelerse p3p,case.loc,cop.pres,v3p,cop.cond,v3s
lerindeyseler p3p,case.loc,cop.cond,v3p
lerindelerse p3p,case.loc,cop.cond,v3p
lerini p3p,case.acc
leriniyken p3p,case.acc,converb
leriniykenki p3p,case.acc,converb,<ki>
leriniysem p3p,case.acc,cop.cond,v1s
leriniysen p3p,case.acc,cop.cond,v2s
leriniyse p3p,case.acc,cop.cond,v3s
leriniysek p3p,case.acc,cop.cond,v1p
leriniyseniz p3p,case.acc,cop.cond,v2p
leriniyseler p3p,case.acc,cop.cond,v3p
lerinilerse p3p,case.acc,cop.cond,v3p
lerinilerken p3p,case.acc,cop.pres,v3p,converb
leriniyim p3p,case.acc,cop.pres,v1s
lerinisin p3p,case.acc,cop.pres,v2s
leriniyiz p3p,case.acc,cop.pres,v1p
lerinisiniz p3p,case.acc,cop.pres,v2p
leriniler p3p,case.acc,cop.pres,v3p
leriniydim p3p,case.acc,cop.past,v1s
leriniydin p3p,case.acc,cop.past,v2s
leriniydi p3p,case.acc,cop.past,v3s
leriniydik p3p,case.acc,cop.past,v1p
leriniydiniz p3p,case.acc,cop.past,v2p
leriniydiler p3p,case.acc,cop.past,v3p
lerinilerdi p3p,case.acc,cop.past,v3p
leriniymişim p3p,case.acc,cop.evid,v1s
leriniymişsin p3p,case.acc,cop.evid,v2s
leriniymiş p3p,case.acc,cop.evid,v3s
leriniymişiz p3p,case.acc,cop.evid,v1p
leriniymişsiniz p3p,case.acc,cop.evid,v2p
leriniymişler p3p,case.acc,cop.evid,v3p
lerinilermiş p3p,case.acc,cop.evid,v3p
leriniyimdir p3p,case.acc,cop.gen.1p.sg
lerinisindir p3p,case.acc,cop.gen.2p.sg
lerinidir p3p,case.acc,cop.gen.3p.sg
leriniyizdir p3p,case.acc,cop.gen.1p.pl
lerinisinizdir p3p,case.acc,cop.gen.2p.pl
lerinidirler p3p,case.acc,cop.gen.3p.pl
lerinilerdir p3p,case.acc,cop.gen.3p.pl
leriyle p3p,case.instr
leriyleyken p3p,case.instr,converb
leriyleykenki p3p,case.instr,converb,<ki>
leriyleysem p3p,case.instr,cop.cond,v1s
leriyleysen p3p,case.instr,cop.cond,v2s
leriyleyse p3p,case.instr,cop.cond,v3s
leriyleysek p3p,case.instr,cop.cond,v1p
leriyleyseniz p3p,case.instr,cop.cond,v2p
leriyleyseler p3p,case.instr,cop.cond,v3p
leriyleyim p3p,case.instr,cop.pres,v1s
leriylesin p3p,case.instr,cop.pres,v2s
leriyleyiz p3p,case.instr,cop.pres,v1p
leriylesiniz p3p,case.instr,cop.pres,v2p
leriyleler p3p,case.instr,cop.pres,v3p
leriylelermiş p3p,case.instr,cop.evid,v3p
leriylelerken p3p,case.instr,cop.pres,v3p,converb
leriylelerse p3p,case.instr,cop.cond,v3p
leriyleydim p3p,case.instr,cop.past,v1s
leriyleydin p3p,case.instr,cop.past,v2s
leriyleydi p3p,case.instr,cop.past,v3s
leriyleydik p3p,case.instr,cop.past,v1p
leriyleydiniz p3p,case.instr,cop.past,v2p
leriyleydiler p3p,case.instr,cop.past,v3p
leriylelerdi p3p,case.instr,cop.past,v3p
leriyleymişim p3p,case.instr,cop.evid,v1s
leriyleymişsin p3p,case.instr,cop.evid,v2s
leriyleymiş p3p,case.instr,cop.evid,v3s
leriyleymişiz p3p,case.instr,cop.evid,v1p
leriyleymişsiniz p3p,case.instr,cop.evid,v2p
leriyleymişler p3p,case.instr,cop.evid,v3p
leriyleyimdir p3p,case.instr,cop.gen.1p.sg
leriylesindir p3p,case.instr,cop.gen.2p.sg
leriyledir p3p,case.instr,cop.gen.3p.sg
leriyleyizdir p3p,case.instr,cop.gen.1p.pl
leriylesinizdir p3p,case.instr,cop.gen.2p.pl
leriyledirler p3p,case.instr,cop.gen.3p.pl
leriylelerdir p3p,case.instr,cop.gen.3p.pl
leri p3p,case.nom
leriyken p3p,case.nom,converb
leriykenki p3p,case.nom,converb,<ki>
leriyimdir p3p,case.nom,cop.gen.1p.sg
lerisindir p3p,case.nom,cop.gen.2p.sg
leridir p3p,case.nom,cop.gen.3p.sg
lerinizdir p3p,case.nom,cop.gen.1p.pl
sisinizdir p3p,case.nom,cop.gen.2p.pl
leridirler p3p,case.nom,cop.gen.3p.pl
lerilerdir p3p,case.nom,cop.gen.3p.pl
leriyim p3p,case.nom,cop.pres,v1s
lerisin p3p,case.nom,cop.pres,v2s
leriniz p3p,case.nom,cop.pres,v1p
lerisiniz p3p,case.nom,cop.pres,v2p
leriler p3p,case.nom,cop.pres,v3p
lerilerken p3p,case.nom,cop.pres,v3p,converb
lerisem p3p,case.nom,cop.cond,v1s
leriysen p3p,case.nom,cop.cond,v2s
leriyse p3p,case.nom,cop.cond,v3s
leriysek p3p,case.nom,cop.cond,v1p
leriyseniz p3p,case.nom,cop.cond,v2p
leriyseler p3p,case.nom,cop.cond,v3p
lerilerse p3p,case.nom,cop.cond,v3p
leriydim p3p,case.nom,cop.past,v1s
leriydin p3p,case.nom,cop.past,v2s
leriydi p3p,case.nom,cop.past,v3s
leriydik p3p,case.nom,cop.past,v1p
leriydiniz p3p,case.nom,cop.past,v2p
lerilerdi p3p,case.nom,cop.past,v3p
leriydiler p3p,case.nom,cop.past,v3p
leriymişim p3p,case.nom,cop.evid,v1s
leriymişsin p3p,case.nom,cop.evid,v2s
leriymiş p3p,case.nom,cop.evid,v3s
leriymişiz p3p,case.nom,cop.evid,v1p
leriymişsiniz p3p,case.nom,cop.evid,v2p
leriymişler p3p,case.nom,cop.evid,v3p
lerilermiş p3p,case.nom,cop.evid,v3p
lerinin p3p,case.gen
lerininken p3p,case.gen,converb
lerininkenki p3p,case.gen,converb,<ki>
lerinindi p3p,case.gen,cop.past,v3s
lerinindik p3p,case.gen,cop.past,v1p
lerinindiler p3p,case.gen,cop.past,v3p
lerinindim p3p,case.gen,cop.past,v1s
lerinindin p3p,case.gen,cop.past,v2s
lerinindiniz p3p,case.gen,cop.past,v2p
lerininimdir p3p,case.gen,cop.gen.1p.sg
lerininsindir p3p,case.gen,cop.gen.2p.sg
lerinindir p3p,case.gen,cop.gen.3p.sg
lerininizdir p3p,case.gen,cop.gen.1p.pl
lerininsinizdir p3p,case.gen,cop.gen.2p.pl
lerinindirler p3p,case.gen,cop.gen.3p.pl
lerininlerdir p3p,case.gen,cop.gen.3p.pl
lerininim p3p,case.gen,cop.pres,v1s
lerininsin p3p,case.gen,cop.pres,v2s
lerininiz p3p,case.gen,cop.pres,v1p
lerininsiniz p3p,case.gen,cop.pres,v2p
lerininler p3p,case.gen,cop.pres,v3p
lerininse p3p,case.gen,cop.cond,v3s
lerininsek p3p,case.gen,cop.cond,v1p
lerininseler p3p,case.gen,cop.cond,v3p
lerininlerse p3p,case.gen,cop.cond,v3p
lerininsem p3p,case.gen,cop.cond,v1s
lerininsen p3p,case.gen,cop.cond,v2s
lerininseniz p3p,case.gen,cop.cond,v2p
lerininmişim p3p,case.gen,cop.evid,v1s
lerininmişsin p3p,case.gen,cop.evid,v2s
lerininmiş p3p,case.gen,cop.evid,v3s
lerininmişiz p3p,case.gen,cop.evid,v1p
lerininmişsiniz p3p,case.gen,cop.evid,v2p
lerininmişler p3p,case.gen,cop.evid,v3p
lerininlermiş p3p,case.gen,cop.evid,v3p
lerininlerdi p3p,case.gen,cop.past,v3p
lerininlerdir p3p,case.gen,cop.gen.3p.sg
lerininlerse p3p,case.gen,cop.pres,v3p,cop.cond,v3s
lerininlerken p3p,case.gen,cop.pres,v3p,converb
lerindeki p3p,case.loc,<ki>
lerindekiyken p3p,case.loc,<ki>,converb
lerindekini p3p,case.loc,<ki>,case.acc
lerindekinin p3p,case.loc,<ki>,case.gen
lerindekine p3p,case.loc,<ki>,case.dat
lerindekinde p3p,case.loc,<ki>,case.loc
lerindekinden p3p,case.loc,<ki>,case.abl
lerindekiyle p3p,case.loc,<ki>,case.instr
lerindekiler p3p,case.loc,<ki>,num.pl
lerindekileri p3p,case.loc,<ki>,num.pl,case.acc
lerindekilere p3p,case.loc,<ki>,num.pl,case.dat
lerindekilerin p3p,case.loc,<ki>,num.pl,case.gen
lerindekilerinki p3p,case.loc,<ki>,num.pl,case.gen,<ki>
lerindekilerde p3p,case.loc,<ki>,num.pl,case.loc
lerindekilerden p3p,case.loc,<ki>,num.pl,case.abl
lerindekilerle p3p,case.loc,<ki>,num.pl,case.instr
lerininki p3p,case.gen,<ki>,num.sg,case.nom
lerininkinde p3p,case.gen,<ki>,num.sg,case.loc
lerininkinden p3p,case.gen,<ki>,num.sg,case.abl
lerininkine p3p,case.gen,<ki>,num.sg,case.dat
lerininkini p3p,case.gen,<ki>,num.sg,case.acc
lerininkinin p3p,case.gen,<ki>,num.sg,case.gen
lerininkininki p3p,case.gen,<ki>,num.sg,case.gen,<ki>
lerininkiyle p3p,case.gen,<ki>,num.sg,case.instr
lerininkiyleyken p3p,case.gen,<ki>,num.sg,case.instr,converb
lerininkiyken p3p,case.gen,<ki>,converb
lerininkiysem p3p,case.gen,<ki>,cop.cond,v1s
lerininkiysen p3p,case.gen,<ki>,cop.cond,v2s
lerininkiyse p3p,case.gen,<ki>,cop.cond,v3s
lerininkiysek p3p,case.gen,<ki>,cop.cond,v1p
lerininkiyseniz p3p,case.gen,<ki>,cop.cond,v2p
lerininkiyseler p3p,case.gen,<ki>,cop.cond,v3p
lerininkiler p3p,case.gen,<ki>,num.pl,case.nom
lerininkiler p3p,case.gen,<ki>,cop.pres,v3p
lerininkilersem p3p,case.gen,<ki>,num.pl,cop.cond,v1s
lerininkilersen p3p,case.gen,<ki>,num.pl,cop.cond,v2s
lerininkilerse p3p,case.gen,<ki>,num.pl,cop.cond,v3s
lerininkilersek p3p,case.gen,<ki>,num.pl,cop.cond,v1p
lerininkilerseniz p3p,case.gen,<ki>,num.pl,cop.cond,v2p
lerininkilerseler p3p,case.gen,<ki>,num.pl,cop.cond,v3p
lerininkilerde p3p,case.gen,<ki>,num.pl,case.loc
lerininkilerden p3p,case.gen,<ki>,num.pl,case.abl
lerininkilere p3p,case.gen,<ki>,num.pl,case.dat
lerininkileri p3p,case.gen,<ki>,num.pl,case.acc
lerininkilerin p3p,case.gen,<ki>,num.pl,case.gen
lerininkilerinki p3p,case.gen,<ki>,num.pl,case.gen,<ki>
lerininkilerle p3p,case.gen,<ki>,num.pl,case.instr
lerindekiykenki p3p,case.loc,<ki>,converb,<ki>
lerindekiyimdir p3p,case.loc,<ki>,cop.gen.1p.sg
lerindekisindir p3p,case.loc,<ki>,cop.gen.2p.sg
lerindekidir p3p,case.loc,<ki>,cop.gen.3p.sg
lerindekiyizdir p3p,case.loc,<ki>,cop.gen.1p.pl
lerindekisinizdir p3p,case.loc,<ki>,cop.gen.2p.pl
lerindekidirler p3p,case.loc,<ki>,cop.gen.3p.pl
lerindekilerdir p3p,case.loc,<ki>,cop.gen.3p.pl
lerindekiyim p3p,case.loc,<ki>,cop.pres,v1s
lerindekisin p3p,case.loc,<ki>,cop.pres,v2s
lerindekiyiz p3p,case.loc,<ki>,cop.pres,v1p
lerindekisiniz p3p,case.loc,<ki>,cop.pres,v2p
lerindekiler p3p,case.loc,<ki>,cop.pres,v3p
lerindekilersem p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v1s
lerindekilersen p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v2s
lerindekilerse p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v3s
lerindekilersek p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v1p
lerindekilerseniz p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v2p
lerindekilerseler p3p,case.loc,<ki>,cop.pres,v3p,cop.cond,v3p
lerindekiysem p3p,case.loc,<ki>,cop.cond,v1s
lerindekiysen p3p,case.loc,<ki>,cop.cond,v2s
lerindekiyse p3p,case.loc,<ki>,cop.cond,v3s
lerindekiysek p3p,case.loc,<ki>,cop.cond,v1p
lerindekiyseniz p3p,case.loc,<ki>,cop.cond,v2p
lerindekiyseler p3p,case.loc,<ki>,cop.cond,v3p
lerindekiydim p3p,case.loc,<ki>,cop.past,v1s
lerindekiydin p3p,case.loc,<ki>,cop.past,v2s
lerindekiydi p3p,case.loc,<ki>,cop.past,v3s
lerindekiydik p3p,case.loc,<ki>,cop.past,v1p
lerindekiydiniz p3p,case.loc,<ki>,cop.past,v2p
lerindekilerdi p3p,case.loc,<ki>,cop.past,v3p
lerindekiydiler p3p,case.loc,<ki>,cop.past,v3p
lerindekiymişim p3p,case.loc,<ki>,cop.evid,v1s
lerindekiymişsin p3p,case.loc,<ki>,cop.evid,v2s
lerindekiymiş p3p,case.loc,<ki>,cop.evid,v3s
lerindekiymişiz p3p,case.loc,<ki>,cop.evid,v1p
lerindekiymişsiniz p3p,case.loc,<ki>,cop.evid,v2p
lerindekiymişler p3p,case.loc,<ki>,cop.evid,v3p
lerindekiniyken p3p,case.loc,<ki>,case.acc,converb
lerindekiniykenki p3p,case.loc,<ki>,case.acc,converb,<ki>
lerindekiniysem p3p,case.loc,<ki>,case.acc,cop.cond,v1s
lerindekiniysen p3p,case.loc,<ki>,case.acc,cop.cond,v2s
lerindekiniyse p3p,case.loc,<ki>,case.acc,cop.cond,v3s
lerindekiniysek p3p,case.loc,<ki>,case.acc,cop.cond,v1p
lerindekiniyseniz p3p,case.loc,<ki>,case.acc,cop.cond,v2p
lerindekiniyseler p3p,case.loc,<ki>,case.acc,cop.cond,v3p
lerindekiniyim p3p,case.loc,<ki>,case.acc,cop.pres,v1s
lerindekinisin p3p,case.loc,<ki>,case.acc,cop.pres,v2s
lerindekiniyiz p3p,case.loc,<ki>,case.acc,cop.pres,v1p
lerindekinisiniz p3p,case.loc,<ki>,case.acc,cop.pres,v2p
lerindekiniler p3p,case.loc,<ki>,case.acc,cop.pres,v3p
lerindekiniydim p3p,case.loc,<ki>,case.acc,cop.past,v1s
lerindekiniydin p3p,case.loc,<ki>,case.acc,cop.past,v2s
lerindekiniydi p3p,case.loc,<ki>,case.acc,cop.past,v3s
lerindekiniydik p3p,case.loc,<ki>,case.acc,cop.past,v1p
lerindekiniydiniz p3p,case.loc,<ki>,case.acc,cop.past,v2p
lerindekiniydiler p3p,case.loc,<ki>,case.acc,cop.past,v3p
lerindekinilerdi p3p,case.loc,<ki>,case.acc,cop.past,v3p
lerindekiniymişim p3p,case.loc,<ki>,case.acc,cop.evid,v1s
lerindekiniymişsin p3p,case.loc,<ki>,case.acc,cop.evid,v2s
lerindekiniymiş p3p,case.loc,<ki>,case.acc,cop.evid,v3s
lerindekiniymişiz p3p,case.loc,<ki>,case.acc,cop.evid,v1p
lerindekiniymişsiniz p3p,case.loc,<ki>,case.acc,cop.evid,v2p
lerindekiniymişler p3p,case.loc,<ki>,case.acc,cop.evid,v3p
lerindekiniyimdir p3p,case.loc,<ki>,case.acc,cop.gen.1p.sg
lerindekinisindir p3p,case.loc,<ki>,case.acc,cop.gen.2p.sg
lerindekinidir p3p,case.loc,<ki>,case.acc,cop.gen.3p.sg
lerindekiniyizdir p3p,case.loc,<ki>,case.acc,cop.gen.1p.pl
lerindekinisinizdir p3p,case.loc,<ki>,case.acc,cop.gen.2p.pl
lerindekinidirler p3p,case.loc,<ki>,case.acc,cop.gen.3p.pl
lerindekinilerdir p3p,case.loc,<ki>,case.acc,cop.gen.3p.pl
lerindekineyken p3p,case.loc,<ki>,case.dat,converb
lerindekineykenki p3p,case.loc,<ki>,case.dat,converb,<ki>
lerindekineysem p3p,case.loc,<ki>,case.dat,cop.cond,v1s
lerindekineysen p3p,case.loc,<ki>,case.dat,cop.cond,v2s
lerindekineyse p3p,case.loc,<ki>,case.dat,cop.cond,v3s
lerindekineysek p3p,case.loc,<ki>,case.dat,cop.cond,v1p
lerindekineyseniz p3p,case.loc,<ki>,case.dat,cop.cond,v2p
lerindekineyseler p3p,case.loc,<ki>,case.dat,cop.cond,v3p
lerindekineyim p3p,case.loc,<ki>,case.dat,cop.pres,v1s
lerindekinesin p3p,case.loc,<ki>,case.dat,cop.pres,v2s
lerindekineyiz p3p,case.loc,<ki>,case.dat,cop.pres,v1p
lerindekinesiniz p3p,case.loc,<ki>,case.dat,cop.pres,v2p
lerindekineler p3p,case.loc,<ki>,case.dat,cop.pres,v3p
lerindekineydim p3p,case.loc,<ki>,case.dat,cop.past,v1s
lerindekineydin p3p,case.loc,<ki>,case.dat,cop.past,v2s
lerindekineydi p3p,case.loc,<ki>,case.dat,cop.past,v3s
lerindekineydik p3p,case.loc,<ki>,case.dat,cop.past,v1p
lerindekineydiniz p3p,case.loc,<ki>,case.dat,cop.past,v2p
lerindekineydiler p3p,case.loc,<ki>,case.dat,cop.past,v3p
lerindekinelerdi p3p,case.loc,<ki>,case.dat,cop.past,v3p
lerindekineymişim p3p,case.loc,<ki>,case.dat,cop.evid,v1s
lerindekineymişsin p3p,case.loc,<ki>,case.dat,cop.evid,v2s
lerindekineymiş p3p,case.loc,<ki>,case.dat,cop.evid,v3s
lerindekineymişiz p3p,case.loc,<ki>,case.dat,cop.evid,v1p
lerindekineymişsiniz p3p,case.loc,<ki>,case.dat,cop.evid,v2p
lerindekineymişler p3p,case.loc,<ki>,case.dat,cop.evid,v3p
lerindekineyimdir p3p,case.loc,<ki>,case.dat,cop.gen.1p.sg
lerindekinesindir p3p,case.loc,<ki>,case.dat,cop.gen.2p.sg
lerindekinedir p3p,case.loc,<ki>,case.dat,cop.gen.3p.sg
lerindekineyizdir p3p,case.loc,<ki>,case.dat,cop.gen.1p.pl
lerindekinesinizdir p3p,case.loc,<ki>,case.dat,cop.gen.2p.pl
lerindekinedirler p3p,case.loc,<ki>,case.dat,cop.gen.3p.pl
lerindekindeyken p3p,case.loc,<ki>,case.loc,converb
lerindekindeykenki p3p,case.loc,<ki>,case.loc,converb,<ki>
lerindekindeyimdir p3p,case.loc,<ki>,case.loc,cop.gen.1p.sg
lerindekindesindir p3p,case.loc,<ki>,case.loc,cop.gen.2p.sg
lerindekindedir p3p,case.loc,<ki>,case.loc,cop.gen.3p.sg
lerindekindeyizdir p3p,case.loc,<ki>,case.loc,cop.gen.1p.pl
lerindekindesinizdir p3p,case.loc,<ki>,case.loc,cop.gen.2p.pl
lerindekindedirler p3p,case.loc,<ki>,case.loc,cop.gen.3p.pl
lerindekindelerdir p3p,case.loc,<ki>,case.loc,cop.gen.3p.pl
lerindekindeyim p3p,case.loc,<ki>,case.loc,cop.pres,v1s
lerindekindesin p3p,case.loc,<ki>,case.loc,cop.pres,v2s
lerindekindeyiz p3p,case.loc,<ki>,case.loc,cop.pres,v1p
lerindekindesiniz p3p,case.loc,<ki>,case.loc,cop.pres,v2p
lerindekindeler p3p,case.loc,<ki>,case.loc,cop.pres,v3p
lerindekindeysem p3p,case.loc,<ki>,case.loc,cop.cond,v1s
lerindekindeysen p3p,case.loc,<ki>,case.loc,cop.cond,v2s
lerindekindeyse p3p,case.loc,<ki>,case.loc,cop.cond,v3s
lerindekindeysek p3p,case.loc,<ki>,case.loc,cop.cond,v1p
lerindekindeyseniz p3p,case.loc,<ki>,case.loc,cop.cond,v2p
lerindekindeyseler p3p,case.loc,<ki>,case.loc,cop.cond,v3p
lerindekindeydim p3p,case.loc,<ki>,case.loc,cop.past,v1s
lerindekindeydin p3p,case.loc,<ki>,case.loc,cop.past,v2s
lerindekindeydi p3p,case.loc,<ki>,case.loc,cop.past,v3s
lerindekindeydik p3p,case.loc,<ki>,case.loc,cop.past,v1p
lerindekindeydiniz p3p,case.loc,<ki>,case.loc,cop.past,v2p
lerindekindelerdi p3p,case.loc,<ki>,case.loc,cop.past,v3p
lerindekindeydiler p3p,case.loc,<ki>,case.loc,cop.past,v3p
lerindekindeymişim p3p,case.loc,<ki>,case.loc,cop.evid,v1s
lerindekindeymişsin p3p,case.loc,<ki>,case.loc,cop.evid,v2s
lerindekindeymiş p3p,case.loc,<ki>,case.loc,cop.evid,v3s
lerindekindeymişiz p3p,case.loc,<ki>,case.loc,cop.evid,v1p
lerindekindeymişsiniz p3p,case.loc,<ki>,case.loc,cop.evid,v2p
lerindekindeymişler p3p,case.loc,<ki>,case.loc,cop.evid,v3p
lerindekindelermiş p3p,case.loc,<ki>,case.loc,cop.evid,v3p
lerindekindenken p3p,case.loc,<ki>,case.abl,converb
lerindekindenkenki p3p,case.loc,<ki>,case.abl,converb,<ki>
lerindekindenimdir p3p,case.loc,<ki>,case.abl,cop.gen.1p.sg
lerindekindensindir p3p,case.loc,<ki>,case.abl,cop.gen.2p.sg
lerindekindendir p3p,case.loc,<ki>,case.abl,cop.gen.3p.sg
lerindekindenizdir p3p,case.loc,<ki>,case.abl,cop.gen.1p.pl
lerindekindensinizdir p3p,case.loc,<ki>,case.abl,cop.gen.2p.pl
lerindekindendirler p3p,case.loc,<ki>,case.abl,cop.gen.3p.pl
lerindekindenlerdir p3p,case.loc,<ki>,case.abl,cop.gen.3p.pl
lerindekindenim p3p,case.loc,<ki>,case.abl,cop.pres,v1s
lerindekindensin p3p,case.loc,<ki>,case.abl,cop.pres,v2s
lerindekindenyiz p3p,case.loc,<ki>,case.abl,cop.pres,v1p
lerindekindensiniz p3p,case.loc,<ki>,case.abl,cop.pres,v2p
lerindekindenler p3p,case.loc,<ki>,case.abl,cop.pres,v3p
lerindekindensem p3p,case.loc,<ki>,case.abl,cop.cond,v1s
lerindekindensen p3p,case.loc,<ki>,case.abl,cop.cond,v2s
lerindekindense p3p,case.loc,<ki>,case.abl,cop.cond,v3s
lerindekindensek p3p,case.loc,<ki>,case.abl,cop.cond,v1p
lerindekindenseniz p3p,case.loc,<ki>,case.abl,cop.cond,v2p
lerindekindenseler p3p,case.loc,<ki>,case.abl,cop.cond,v3p
lerindekindendim p3p,case.loc,<ki>,case.abl,cop.past,v1s
lerindekindendin p3p,case.loc,<ki>,case.abl,cop.past,v2s
lerindekindendi p3p,case.loc,<ki>,case.abl,cop.past,v3s
lerindekindendik p3p,case.loc,<ki>,case.abl,cop.past,v1p
lerindekindendiniz p3p,case.loc,<ki>,case.abl,cop.past,v2p
lerindekindenlerdi p3p,case.loc,<ki>,case.abl,cop.past,v3p
lerindekindendiler p3p,case.loc,<ki>,case.abl,cop.past,v3p
lerindekindenmişim p3p,case.loc,<ki>,case.abl,cop.evid,v1s
lerindekindenmişsin p3p,case.loc,<ki>,case.abl,cop.evid,v2s
lerindekindenmiş p3p,case.loc,<ki>,case.abl,cop.evid,v3s
lerindekindenmişiz p3p,case.loc,<ki>,case.abl,cop.evid,v1p
lerindekindenmişsiniz p3p,case.loc,<ki>,case.abl,cop.evid,v2p
lerindekindeymişler p3p,case.loc,<ki>,case.abl,cop.evid,v3p
lerindekindenlermiş p3p,case.loc,<ki>,case.abl,cop.evid,v3p
