ye case.dat
dekineyimdir case.loc,<ki>,case.dat,cop.gen.1p.sg
dekinesindir case.loc,<ki>,case.dat,cop.gen.2p.sg
dekinedir case.loc,<ki>,case.dat,cop.gen.3p.sg
dekineyizdir case.loc,<ki>,case.dat,cop.gen.1p.pl
dekinesinizdir case.loc,<ki>,case.dat,cop.gen.2p.pl
dekinedirler case.loc,<ki>,case.dat,cop.gen.3p.pl
dekindeyken case.loc,<ki>,case.loc,converb
dekindeykenki case.loc,<ki>,case.loc,converb,<ki>
dekindeyimdir case.loc,<ki>,case.loc,cop.gen.1p.sg
dekindesindir case.loc,<ki>,case.loc,cop.gen.2p.sg
dekindedir case.loc,<ki>,case.loc,cop.gen.3p.sg
dekindeyizdir case.loc,<ki>,case.loc,cop.gen.1p.pl
dekindesinizdir case.loc,<ki>,case.loc,cop.gen.2p.pl
dekindedirler case.loc,<ki>,case.loc,cop.gen.3p.pl
dekindelerdir case.loc,<ki>,case.loc,cop.gen.3p.pl
dekindeyim case.loc,<ki>,case.loc,cop.pres,v1s
dekindesin case.loc,<ki>,case.loc,cop.pres,v2s
dekindeyiz case.loc,<ki>,case.loc,cop.pres,v1p
dekindesiniz case.loc,<ki>,case.loc,cop.pres,v2p
dekindeler case.loc,<ki>,case.loc,cop.pres,v3p
dekindeysem case.loc,<ki>,case.loc,cop.cond,v1s
dekindeysen case.loc,<ki>,case.loc,cop.cond,v2s
dekindeyse case.loc,<ki>,case.loc,cop.cond,v3s
dekindeysek case.loc,<ki>,case.loc,cop.cond,v1p
dekindeyseniz case.loc,<ki>,case.loc,cop.cond,v2p
dekindeyseler case.loc,<ki>,case.loc,cop.cond,v3p
dekindeydim case.loc,<ki>,case.loc,cop.past,v1s
dekindeydin case.loc,<ki>,case.loc,cop.past,v2s
dekindeydi case.loc,<ki>,case.loc,cop.past,v3s
dekindeydik case.loc,<ki>,case.loc,cop.past,v1p
dekindeydiniz case.loc,<ki>,case.loc,cop.past,v2p
dekindelerdi case.loc,<ki>,case.loc,cop.past,v3p
dekindeydiler case.loc,<ki>,case.loc,cop.past,v3p
dekindeymişim case.loc,<ki>,case.loc,cop.evid,v1s
dekindeymişsin case.loc,<ki>,case.loc,cop.evid,v2s
dekindeymiş case.loc,<ki>,case.loc,cop.evid,v3s
dekindeymişiz case.loc,<ki>,case.loc,cop.evid,v1p
dekindeymişsiniz case.loc,<ki>,case.loc,cop.evid,v2p
dekindeymişler case.loc,<ki>,case.loc,cop.evid,v3p
dekindelermiş case.loc,<ki>,case.loc,cop.evid,v3p
dekindenken case.loc,<ki>,case.abl,converb
dekindenkenki case.loc,<ki>,case.abl,converb,<ki>
dekindenimdir case.loc,<ki>,case.abl,cop.gen.1p.sg
dekindensindir case.loc,<ki>,case.abl,cop.gen.2p.sg
dekindendir case.loc,<ki>,case.abl,cop.gen.3p.sg
dekindenizdir case.loc,<ki>,case.abl,cop.gen.1p.pl
dekindensinizdir case.loc,<ki>,case.abl,cop.gen.2p.pl
dekindendirler case.loc,<ki>,case.abl,cop.gen.3p.pl
dekindenlerdir case.loc,<ki>,case.abl,cop.gen.3p.pl
dekindenim case.loc,<ki>,case.abl,cop.pres,v1s
dekindensin case.loc,<ki>,case.abl,cop.pres,v2s
dekindenyiz case.loc,<ki>,case.abl,cop.pres,v1p
dekindensiniz case.loc,<ki>,case.abl,cop.pres,v2p
dekindenler case.loc,<ki>,case.abl,cop.pres,v3p
dekindensem case.loc,<ki>,case.abl,cop.cond,v1s
dekindensen case.loc,<ki>,case.abl,cop.cond,v2s
dekindense case.loc,<ki>,case.abl,cop.cond,v3s
dekindensek case.loc,<ki>,case.abl,cop.cond,v1p
dekindenseniz case.loc,<ki>,case.abl,cop.cond,v2p
dekindenseler case.loc,<ki>,case.abl,cop.cond,v3p
dekindendim case.loc,<ki>,case.abl,cop.past,v1s
dekindendin case.loc,<ki>,case.abl,cop.past,v2s
dekindendi case.loc,<ki>,case.abl,cop.past,v3s
dekindendik case.loc,<ki>,case.abl,cop.past,v1p
dekindendiniz case.loc,<ki>,case.abl,cop.past,v2p
dekindenlerdi case.loc,<ki>,case.abl,cop.past,v3p
dekindendiler case.loc,<ki>,case.abl,cop.past,v3p
dekindenmişim case.loc,<ki>,case.abl,cop.evid,v1s
dekindenmişsin case.loc,<ki>,case.abl,cop.evid,v2s
dekindenmiş case.loc,<ki>,case.abl,cop.evid,v3s
dekindenmişiz case.loc,<ki>,case.abl,cop.evid,v1p
dekindenmişsiniz case.loc,<ki>,case.abl,cop.evid,v2p
dekindeymişler case.loc,<ki>,case.abl,cop.evid,v3p
dekindenlermiş case.loc,<ki>,case.abl,cop.evid,v3p
dekiyleyken case.loc,<ki>,case.instr,converb
dekiyleykenki case.loc,<ki>,case.instr,converb,<ki>
dekiyleyimdir case.loc,<ki>,case.instr,cop.gen.1p.sg
dekiylesindir case.loc,<ki>,case.instr,cop.gen.2p.sg
dekiyledir case.loc,<ki>,case.instr,cop.gen.3p.sg
dekiyleyizdir case.loc,<ki>,case.instr,cop.gen.1p.pl
dekiylesinizdir case.loc,<ki>,case.instr,cop.gen.2p.pl
dekiyledirler case.loc,<ki>,case.instr,cop.gen.3p.pl
dekiylelerdir case.loc,<ki>,case.instr,cop.gen.3p.pl
dekiyleyim case.loc,<ki>,case.instr,cop.pres,v1s
dekiylesin case.loc,<ki>,case.instr,cop.pres,v2s
dekiyleyiz case.loc,<ki>,case.instr,cop.pres,v1p
dekiylesiniz case.loc,<ki>,case.instr,cop.pres,v2p
dekiyleler case.loc,<ki>,case.instr,cop.pres,v3p
dekiylelerse case.loc,<ki>,case.instr,cop.cond,v3p
dekiylelerken case.loc,<ki>,case.instr,cop.pres,v3p
dekiyleysem case.loc,<ki>,case.instr,cop.cond,v1s
dekiyleysen case.loc,<ki>,case.instr,cop.cond,v2s
dekiyleyse case.loc,<ki>,case.instr,cop.cond,v3s
dekiyleysek case.loc,<ki>,case.instr,cop.cond,v1p
dekiyleyseniz case.loc,<ki>,case.instr,cop.cond,v2p
dekiyleyseler case.loc,<ki>,case.instr,cop.cond,v3p
dekiyleydim case.loc,<ki>,case.instr,cop.past,v1s
dekiyleydin case.loc,<ki>,case.instr,cop.past,v2s
dekiyleydi case.loc,<ki>,case.instr,cop.past,v3s
dekiyleydik case.loc,<ki>,case.instr,cop.past,v1p
dekiyleydiniz case.loc,<ki>,case.instr,cop.past,v2p
dekiylelerdi case.loc,<ki>,case.instr,cop.past,v3p
dekiyleydiler case.loc,<ki>,case.instr,cop.past,v3p
dekiyleymişim case.loc,<ki>,case.instr,cop.evid,v1s
dekiyleymişsin case.loc,<ki>,case.instr,cop.evid,v2s
dekiyleymiş case.loc,<ki>,case.instr,cop.evid,v3s
dekiyleymişiz case.loc,<ki>,case.instr,cop.evid,v1p
dekiyleymişsiniz case.loc,<ki>,case.instr,cop.evid,v2p
dekiyleymişler case.loc,<ki>,case.instr,cop.evid,v3p
dekiylelermiş case.loc,<ki>,case.instr,cop.evid,v3p
dekininken case.loc,<ki>,case.gen,converb
dekininkenki case.loc,<ki>,case.gen,converb,<ki>
dekininimdir case.loc,<ki>,case.gen,cop.gen.1p.sg
dekininsindir case.loc,<ki>,case.gen,cop.gen.2p.sg
dekinindir case.loc,<ki>,case.gen,cop.gen.3p.sg
dekininizdir case.loc,<ki>,case.gen,cop.gen.1p.pl
dekininsinizdir case.loc,<ki>,case.gen,cop.gen.2p.pl
dekinindirler case.loc,<ki>,case.gen,cop.gen.3p.pl
dekininlerdir case.loc,<ki>,case.gen,cop.gen.3p.pl
dekininim case.loc,<ki>,case.gen,cop.pres,v1s
dekininsin case.loc,<ki>,case.gen,cop.pres,v2s
dekininiz case.loc,<ki>,case.gen,cop.pres,v1p
dekininsiniz case.loc,<ki>,case.gen,cop.pres,v2p
dekininler case.loc,<ki>,case.gen,cop.pres,v3p
dekininsem case.loc,<ki>,case.gen,cop.cond,v1s
dekininsen case.loc,<ki>,case.gen,cop.cond,v2s
dekininse case.loc,<ki>,case.gen,cop.cond,v3s
dekininsek case.loc,<ki>,case.gen,cop.cond,v1p
dekininseniz case.loc,<ki>,case.gen,cop.cond,v2p
dekininseler case.loc,<ki>,case.gen,cop.cond,v3p
dekinindim case.loc,<ki>,case.gen,cop.past,v1s
dekinindin case.loc,<ki>,case.gen,cop.past,v2s
dekinindi case.loc,<ki>,case.gen,cop.past,v3s
dekinindik case.loc,<ki>,case.gen,cop.past,v1p
dekinindiniz case.loc,<ki>,case.gen,cop.past,v2p
dekininlerdi case.loc,<ki>,case.gen,cop.past,v3p
dekinindiler case.loc,<ki>,case.gen,cop.past,v3p
dekininmişim case.loc,<ki>,case.gen,cop.evid,v1s
dekininmişsin case.loc,<ki>,case.gen,cop.evid,v2s
dekininmiş case.loc,<ki>,case.gen,cop.evid,v3s
dekininmişiz case.loc,<ki>,case.gen,cop.evid,v1p
dekininmişsiniz case.loc,<ki>,case.gen,cop.evid,v2p
dekininmişler case.loc,<ki>,case.gen,cop.evid,v3p
dekininlermiş case.loc,<ki>,case.gen,cop.evid,v3p
dekilerken case.loc,<ki>,num.pl,converb
dekilerken case.loc,<ki>,cop.cond,v3p,converb
dekilerkenki case.loc,<ki>,num.pl,converb,<ki>
dekilerkenki case.loc,<ki>,cop.cond,v3p,converb,<ki>
dekilerimdir case.loc,<ki>,num.pl,cop.gen.1p.sg
dekilersindir case.loc,<ki>,num.pl,cop.gen.2p.sg
dekilerdir case.loc,<ki>,num.pl,cop.gen.3p.sg
dekilerizdir case.loc,<ki>,num.pl,cop.gen.1p.pl
dekilersinizdir case.loc,<ki>,num.pl,cop.gen.2p.pl
dekilerdirler case.loc,<ki>,num.pl,cop.gen.3p.pl
dekilerim case.loc,<ki>,num.pl,cop.pres,v1s
